ID,Titolo,Generi,Punteggio_Utente,Stato_Utente,Punteggio_Medio,Rank,Popolarita
3,20th Century Boys,"Award Winning, Drama, Historical, Mystery, Psychological, Sci-Fi, Seinen",9,completed,8.94,17,24
743,21st Century Boys,"Award Winning, Drama, Mystery, Psychological, Sci-Fi, Seinen",0,completed,8.43,203,143
1224,3-gatsu no Lion,"Award Winning, Childcare, Drama, Iyashikei, Seinen, Slice of Life, Strategy Game",6,on_hold,8.85,28,225
147337,"66,666 Years: Advent of the Dark Mage","Fantasy, Reincarnation",4,dropped,7.31,4848,1414
134678,A Business Proposal,"Adult Cast, Comedy, Drama, Romance, Workplace",5,completed,7.94,896,1794
148457,A Dance of Swords in the Night,"Action, Fantasy, Martial Arts",5,dropped,7.07,8146,4986
41723,A Fairytale for the Demon Lord,"Action, Adventure, Fantasy, Romance",0,plan_to_read,7.09,7848,2121
158496,A Modern Man Who Got Transmigrated Into the Murim World,"Action, Fantasy, Isekai, Martial Arts, Reincarnation",0,plan_to_read,6.97,9655,7605
132247,A Returner's Magic Should Be Special,"Action, Fantasy, School, Time Travel",6,completed,7.59,2391,340
50027,About Death,"Psychological, Slice of Life, Supernatural",8,completed,8.05,686,1404
172750,Absolute Regression,"Action, Fantasy, Martial Arts, Time Travel",7,reading,7.69,1861,5365
174691,Absolute Reign,"Action, Fantasy, Martial Arts",7,reading,7.36,4339,11897
149880,Absolute Sword Sense,"Action, Fantasy, Martial Arts, Time Travel",4,dropped,7.53,2829,3424
143991,After God,"Action, Fantasy",0,plan_to_read,7.58,2444,1284
147448,After School Lessons for Unripe Apples,"Romance, School",6,dropped,8.55,120,2851
150210,After Ten Millennia in Hell,"Action, Fantasy",5,dropped,7.52,2898,893
103939,Aharen-san wa Hakarenai,"Comedy, Love Status Quo, Romance, School, Shounen",3,dropped,7.57,2565,531
147014,Aisha,"Drama, Mystery, Psychological, Suspense",0,plan_to_read,7.74,1600,16676
49865,Ajin,"Action, Gore, Horror, Mystery, Seinen, Supernatural",7,completed,8,777,85
1218,Akagi: Yami ni Oritatta Tensai,"Action, Adult Cast, Drama, Organized Crime, Psychological, Strategy Game",0,plan_to_read,8.19,462,1468
21525,Akatsuki no Yona,"Adventure, Fantasy, Romance, Shoujo",0,plan_to_read,8.82,33,87
664,Akira,"Action, Award Winning, Gore, Sci-Fi, Seinen",0,plan_to_read,8.66,68,94
24705,Aku no Hana,"Drama, Psychological, Romance, School, Shounen",0,plan_to_read,8.2,443,66
1101,Akumetsu,"Action, Detective, Drama, Psychological, Shounen, Suspense",8,completed,8.11,579,238
125325,Akuyaku Reijou Tensei Ojisan,"Comedy, Fantasy, School, Seinen, Villainess",3,dropped,7.19,6375,4522
62887,All You Need Is Kill,"Action, Military, Sci-Fi, Seinen, Time Travel",7,completed,7.75,1575,92
63535,Amaama to Inazuma,"Childcare, Comedy, Gourmet, Iyashikei, Seinen, Slice of Life",5,completed,8.13,558,738
129418,Ame to Kimi to,"Comedy, Seinen, Slice of Life",0,plan_to_read,7.45,3404,3375
143336,Among Us,"Comedy, Kids, Sci-Fi, Space",6,completed,6.96,9824,3547
128953,Ankoku Kishi no Ore desu ga Saikyou no Paladin wo Mezashimasu,"Action, Fantasy, School",2,dropped,6.29,18879,7935
30079,Annarasumanara,"Drama, Mystery, Psychological, Romance, School, Seinen",9,completed,8.28,353,235
296,Anne Freaks,"Horror, Mystery, Psychological",5,completed,6.62,15167,3122
102256,Ao Ashi,"Award Winning, Seinen, Sports, Team Sports",0,plan_to_read,8.62,90,496
13492,Ao no Exorcist,"Action, Mythology, School, Shounen, Supernatural",0,plan_to_read,7.87,1109,76
135545,Ao no Hako,"Romance, School, Shounen, Sports, Team Sports",0,plan_to_read,8.3,316,183
14154,Arakawa Under the Bridge,"Comedy, Romance, Seinen",4,completed,7.82,1298,1092
96528,Arifureta Shokugyou de Sekai Saikyou,"Action, Adventure, Fantasy, Harem, Isekai",4,dropped,7.18,6502,319
1303,Ashita no Joe,"Combat Sports, Drama, Shounen, Slice of Life, Sports",0,plan_to_read,8.93,18,284
131084,Assassin's Creed Valhalla x Vinland Saga,"Action, Historical, Seinen",4,completed,5.86,20394,6673
153965,Auto Hunting With My Clones,"Action, Fantasy",6,dropped,7.19,6307,3508
141583,Ayashimon,"Action, Organized Crime, Shounen, Supernatural",5,completed,6.57,15877,543
93350,Ayeshah's Secret,Drama,7,completed,7.23,5822,2639
85,Azumanga Daioh,"CGDCT, Comedy, School, Slice of Life",3,dropped,8.37,243,307
72299,Baki-dou,"Action, Gore, Martial Arts, Shounen",0,plan_to_read,7.63,2157,1083
115749,Baki-dou,"Action, Martial Arts, Shounen",0,plan_to_read,7.29,5038,1844
5157,Baki: New Grappler Baki,"Action, Combat Sports, Gore, Martial Arts, Shounen",0,plan_to_read,7.82,1295,729
9711,Bakuman.,"Comedy, Drama, Otaku Culture, Romance, Shounen",0,plan_to_read,8.37,247,58
756,Banana Fish,"Action, Adventure, Delinquents, Drama, Organized Crime, Psychological, Shoujo, Suspense",0,plan_to_read,8.6,100,275
13568,Barairo no Kaibutsu,"Horror, Psychological, Seinen",5,completed,6.52,16628,11127
17051,Barakamon,"Childcare, Comedy, Iyashikei, Shounen, Slice of Life, Visual Arts",4,dropped,8.43,206,422
111213,Bastard,"Drama, Gore, Horror, Mystery, Psychological, Romance",8,completed,8.47,165,88
103701,Beastars,"Anthropomorphic, Award Winning, Drama, Psychological, Shounen, Slice of Life",9,completed,8.23,400,120
10010,Beelzebub,"Action, Childcare, Comedy, Delinquents, Mythology, School, Shounen, Supernatural",0,plan_to_read,8.12,570,119
2,Berserk,"Action, Adventure, Award Winning, Drama, Fantasy, Gore, Horror, Military, Psychological, Seinen",10,dropped,9.47,1,1
92299,Berserk: Shinen no Kami 2,Seinen,0,completed,8.49,158,1032
147662,Best Teacher Baek,"Action, Fantasy, Martial Arts, Reincarnation",7,reading,7.6,2336,4126
113835,Biao Ren,"Action, Drama, Historical",8,reading,7.68,1878,6071
11054,Billy Bat,"Detective, Drama, Historical, Mystery, Psychological, Seinen, Supernatural",0,plan_to_read,8.55,119,214
168969,Black and White Martial Emperor,"Action, Fantasy, Martial Arts",3,dropped,6.85,11693,15838
86337,Black Clover,"Action, Fantasy, Shounen",0,plan_to_read,7.85,1191,34
735,Black Lagoon,"Action, Adult Cast, Drama, Military, Organized Crime, Seinen",0,plan_to_read,8.29,326,301
149,Blame!,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",6,completed,8.29,325,70
12,Bleach,"Action, Adventure, Award Winning, Shounen, Supernatural",0,plan_to_read,7.9,1009,15
85719,Blue Giant,"Award Winning, Music, Seinen",7,completed,8.49,152,794
100922,Blue Giant Supreme,"Music, Seinen",0,plan_to_read,8.32,295,3687
1479,Blue Heaven,"Action, Psychological, Seinen",5,completed,6.71,13890,1541
114745,Blue Lock,"Award Winning, Shounen, Sports, Team Sports",7,reading,8.47,170,44
107931,Blue Period,"Award Winning, Drama, School, Seinen, Visual Arts",8,reading,8.61,96,97
2109,Bokkou,"Action, Award Winning, Drama, Historical, Seinen",5,completed,7.68,1894,3742
75989,Boku no Hero Academia,"Action, School, Shounen, Super Power",4,completed,7.96,840,11
112807,Boku no Kokoro no Yabai Yatsu,"Comedy, Romance, School, Shounen",0,plan_to_read,8.25,378,289
153950,Boku to Jinginaki Ojisan,"Comedy, Shounen",4,completed,6.99,9367,13203
94919,Bokutachi ga Yarimashita,"Drama, Seinen",0,plan_to_read,7.95,868,687
