ID,Titolo,Generi,Punteggio_Utente,Stato_Utente,Punteggio_Medio,Rank,Popolarita
3,20th Century Boys,"Award Winning, Drama, Historical, Mystery, Psychological, Sci-Fi, Seinen",9,completed,8.94,17,24
743,21st Century Boys,"Award Winning, Drama, Mystery, Psychological, Sci-Fi, Seinen",0,completed,8.43,200,143
1224,3-gatsu no Lion,"Award Winning, Childcare, Drama, Iyashikei, Seinen, Slice of Life, Strategy Game",6,on_hold,8.85,28,225
147337,"66,666 Years: Advent of the Dark Mage","Fantasy, Reincarnation",4,dropped,7.31,4781,1431
134678,A Business Proposal,"Adult Cast, Comedy, Drama, Romance, Workplace",5,completed,7.94,892,1888
148457,A Dance of Swords in the Night,"Action, Fantasy, Martial Arts",5,dropped,7.07,8053,4986
41723,A Fairytale for the Demon Lord,"Action, Adventure, Fantasy, Romance",0,plan_to_read,7.09,7784,2086
158496,A Modern Man Who Got Transmigrated Into the Murim World,"Action, Fantasy, Isekai, Martial Arts, Reincarnation",0,plan_to_read,6.96,9693,7704
132247,A Returner's Magic Should Be Special,"Action, Fantasy, School, Time Travel",6,completed,7.59,2427,344
50027,About Death,"Psychological, Slice of Life, Supernatural",8,completed,8.05,673,1395
172750,Absolute Regression,"Action, Fantasy, Martial Arts, Time Travel",4,reading,7.67,1948,5866
149880,Absolute Sword Sense,"Action, Fantasy, Martial Arts, Time Travel",4,dropped,7.52,2882,3523
143991,After God,"Action, Fantasy",0,plan_to_read,7.57,2530,1300
147448,After School Lessons for Unripe Apples,"Romance, School",6,dropped,8.56,118,2890
150210,After Ten Millennia in Hell,"Action, Fantasy",5,dropped,7.53,2779,908
103939,Aharen-san wa Hakarenai,"Comedy, Love Status Quo, Romance, School, Shounen",3,dropped,7.57,2541,531
147014,Aisha,"Drama, Mystery, Psychological, Suspense",0,plan_to_read,7.7,1799,16905
49865,Ajin,"Action, Gore, Horror, Mystery, Seinen, Supernatural",7,completed,8,781,85
1218,Akagi: Yami ni Oritatta Tensai,"Action, Adult Cast, Drama, Organized Crime, Psychological, Strategy Game",0,plan_to_read,8.19,462,1528
21525,Akatsuki no Yona,"Adventure, Fantasy, Romance, Shoujo",0,plan_to_read,8.82,35,86
664,Akira,"Action, Award Winning, Gore, Sci-Fi, Seinen",0,plan_to_read,8.66,69,94
24705,Aku no Hana,"Drama, Psychological, Romance, School, Shounen",0,plan_to_read,8.2,446,66
1101,Akumetsu,"Action, Detective, Drama, Psychological, Shounen, Suspense",8,completed,8.11,583,238
125325,Akuyaku Reijou Tensei Ojisan,"Comedy, Fantasy, School, Seinen, Villainess",3,dropped,7.18,6489,4622
62887,All You Need Is Kill,"Action, Military, Sci-Fi, Seinen, Time Travel",7,completed,7.75,1575,93
63535,Amaama to Inazuma,"Childcare, Comedy, Gourmet, Iyashikei, Seinen, Slice of Life",5,completed,8.13,556,735
143336,Among Us,"Comedy, Kids, Sci-Fi, Space",6,completed,6.97,9658,3508
128953,Ankoku Kishi no Ore desu ga Saikyou no Paladin wo Mezashimasu,"Action, Fantasy, School",2,dropped,6.29,18724,8022
30079,Annarasumanara,"Drama, Mystery, Psychological, Romance, School, Seinen",9,completed,8.28,336,235
296,Anne Freaks,"Horror, Mystery, Psychological",5,completed,6.62,15068,3075
102256,Ao Ashi,"Award Winning, Seinen, Sports, Team Sports",0,plan_to_read,8.61,99,507
13492,Ao no Exorcist,"Action, Mythology, School, Shounen, Supernatural",0,plan_to_read,7.87,1116,76
135545,Ao no Hako,"Romance, School, Shounen, Sports, Team Sports",0,plan_to_read,8.29,322,188
14154,Arakawa Under the Bridge,"Comedy, Romance, Seinen",4,completed,7.82,1284,1090
96528,Arifureta Shokugyou de Sekai Saikyou,"Action, Adventure, Fantasy, Harem, Isekai",4,dropped,7.18,6410,319
1303,Ashita no Joe,"Combat Sports, Drama, Shounen, Slice of Life, Sports",0,plan_to_read,8.93,18,289
131084,Assassin's Creed Valhalla x Vinland Saga,"Action, Historical, Seinen",4,completed,5.86,20238,6640
153965,Auto Hunting With My Clones,"Action, Fantasy",6,dropped,7.18,6531,3562
141583,Ayashimon,"Action, Organized Crime, Shounen, Supernatural",5,completed,6.57,15840,544
