ID,Titolo,Generi,Punteggio Medio,Rank,Popolarità,Stato,Autori
2,Berserk,"Action, Adventure, Award Winning, Drama, Fantasy, Gore, Horror, Military, Psychological, Seinen",9.47,1,1,currently_publishing,"Kentarou Miura,  Studio Gaga"
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"Action, Adventure, Historical, Mystery, Seinen, Shounen, Supernatural",9.32,2,23,finished,Hirohiko Araki
656,Vagabond,"Action, Adventure, Award Winning, Historical, Samurai, Seinen",9.27,3,13,on_hiatus,"Takehiko Inoue, Eiji Yoshikawa"
13,One Piece,"Action, Adventure, Fantasy, Shounen",9.22,4,4,currently_publishing,Eiichiro Oda
1,Monster,"Adult Cast, Award Winning, Drama, Mystery, Psychological, Seinen",9.16,5,28,finished,Naoki Urasawa
51,Slam Dunk,"Award Winning, School, Shounen, Sports, Team Sports",9.08,6,49,finished,Takehiko Inoue
642,Vinland Saga,"Action, Adventure, Award Winning, Drama, Historical, Seinen",9.08,7,17,currently_publishing,Makoto Yukimura
25,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy, Military, Shounen",9.04,10,20,finished,Hiromu Arakawa
70345,Grand Blue,"Comedy, Seinen",9.03,12,48,currently_publishing,"Kenji Inoue, Kimitake Yoshioka"
16765,Kingdom,"Action, Award Winning, Historical, Military, Seinen",9.01,13,50,currently_publishing,Yasuhisa Hara
4632,Oyasumi Punpun,"Drama, Psychological, Seinen, Slice of Life",8.99,14,8,finished,Inio Asano
44489,Houseki no Kuni,"Action, Anthropomorphic, Drama, Fantasy, Seinen",8.97,15,80,finished,Haruko Ichikawa
657,Real,"Award Winning, Drama, Psychological, Seinen, Sports, Team Sports",8.96,16,150,currently_publishing,Takehiko Inoue
3,20th Century Boys,"Award Winning, Drama, Historical, Mystery, Psychological, Sci-Fi, Seinen",8.94,17,24,finished,Naoki Urasawa
1303,Ashita no Joe,"Combat Sports, Drama, Shounen, Slice of Life, Sports",8.93,18,289,finished,"Ikki Kajiwara, Tetsuya Chiba"
104,Yotsuba to!,"Award Winning, Childcare, Comedy, Iyashikei, Slice of Life",8.91,19,69,currently_publishing,Kiyohiko Azuma
34053,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,"Drama, Fantasy, Mystery, Shounen, Supernatural",8.9,23,910,finished,"Kei Natsumi,  Ryukishi07"
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Award Winning, Comedy, Romance, School, Seinen",8.89,24,25,finished,Aka Akasaka
336,GTO,"Action, Award Winning, Comedy, Delinquents, Drama, Ecchi, School, Shounen, Workplace",8.87,26,56,finished,Tooru Fujisawa
