ID,Nome,Generi/Temi,Start Date,End Date,Mean Score,Rank,Popularity,Volumi,Capitoli,Stato,Tipo Media,Autori,Serializzazioni
2,Berserk,"Action, Adventure, Award Winning, Drama, Fantasy, Gore, Horror, Military, Psychological, Seinen",1989-08-25,,9.47,1,1,0,0,currently_publishing,manga,"Kentarou Miura,  Studio Gaga",
1706,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"Action, Adventure, Historical, Mystery, Seinen, Shounen, Supernatural",2004-01-19,2011-04-19,9.32,2,23,24,96,finished,manga,Hirohiko Araki,
656,Vagabond,"Action, Adventure, Award Winning, Historical, Samurai, Seinen",1998-09-03,2015-05-21,9.27,3,13,37,327,on_hiatus,manga,"Takehiko Inoue, Eiji Yoshikawa",
13,One Piece,"Action, Adventure, Fantasy, Shounen",1997-07-22,,9.22,4,4,0,0,currently_publishing,manga,Eiichiro Oda,
1,Monster,"Adult Cast, Award Winning, Drama, Mystery, Psychological, Seinen",1994-12-05,2001-12-20,9.16,5,28,18,162,finished,manga,Naoki Urasawa,
51,Slam Dunk,"Award Winning, School, Shounen, Sports, Team Sports",1990-09-18,1996-06-04,9.08,6,49,31,276,finished,manga,Takehiko Inoue,
642,Vinland Saga,"Action, Adventure, Award Winning, Drama, Historical, Seinen",2005-04-13,,9.08,7,17,0,0,currently_publishing,manga,Makoto Yukimura,
25,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy, Military, Shounen",2001-07-12,2010-09-11,9.04,10,20,27,116,finished,manga,Hiromu Arakawa,
70345,Grand Blue,"Comedy, Seinen",2014-04-07,,9.03,12,48,0,0,currently_publishing,manga,"Kenji Inoue, Kimitake Yoshioka",
16765,Kingdom,"Action, Award Winning, Historical, Military, Seinen",2006-01-26,,9.01,13,50,0,0,currently_publishing,manga,Yasuhisa Hara,
4632,Oyasumi Punpun,"Drama, Psychological, Seinen, Slice of Life",2007-03-15,2013-11-02,8.99,14,8,13,147,finished,manga,Inio Asano,
44489,Houseki no Kuni,"Action, Anthropomorphic, Drama, Fantasy, Seinen",2012-10-25,2024-04-25,8.97,15,80,13,108,finished,manga,Haruko Ichikawa,
657,Real,"Award Winning, Drama, Psychological, Seinen, Sports, Team Sports",1999-10-28,,8.95,16,150,0,0,currently_publishing,manga,Takehiko Inoue,
3,20th Century Boys,"Award Winning, Drama, Historical, Mystery, Psychological, Sci-Fi, Seinen",1999-09-27,2006-04-24,8.94,17,24,22,249,finished,manga,Naoki Urasawa,
1303,Ashita no Joe,"Combat Sports, Drama, Shounen, Slice of Life, Sports",1968-01-01,1973-05-13,8.94,18,289,20,171,finished,manga,"Ikki Kajiwara, Tetsuya Chiba",
104,Yotsuba to!,"Award Winning, Childcare, Comedy, Iyashikei, Slice of Life",2003-03-21,,8.91,19,69,0,0,currently_publishing,manga,Kiyohiko Azuma,
34053,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,"Drama, Fantasy, Mystery, Shounen, Supernatural",2012-01-21,2015-06-22,8.9,23,912,9,42,finished,manga,"Kei Natsumi,  Ryukishi07",
90125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Award Winning, Comedy, Romance, School, Seinen",2015-05-19,2022-11-02,8.89,24,25,28,281,finished,manga,Aka Akasaka,
336,GTO,"Action, Award Winning, Comedy, Delinquents, Drama, Ecchi, School, Shounen, Workplace",1996-12-11,2002-01-30,8.87,26,56,25,208,finished,manga,Tooru Fujisawa,
1224,3-gatsu no Lion,"Award Winning, Childcare, Drama, Iyashikei, Seinen, Slice of Life, Strategy Game",2007-07-13,,8.86,27,225,0,0,currently_publishing,manga,Chica Umino,
35243,Haikyuu!!,"Award Winning, School, Shounen, Sports, Team Sports",2012-02-20,2020-07-20,8.86,28,33,45,407,finished,manga,Haruichi Furudate,
56805,Koe no Katachi,"Award Winning, Drama, Shounen",2013-08-07,2014-11-19,8.85,29,26,7,64,finished,manga,Yoshitoki Ooima,
